streamer,title,url,views,duration,created_at,category
Hctuan,GANG de  chien,https://www.twitch.tv/hctuan/clip/TalentedShortChickpeaRlyTho-v5eBfTA96ID8BEwC,3,30,2025-05-30T19:20:18Z,Minecraft
Hctuan,Samous est bloqué (rip),https://www.twitch.tv/hctuan/clip/ArborealTalentedPancakePeoplesChamp-t4NB3bEGEa9exuLO,3,43.3,2025-05-29T21:48:05Z,Minecraft
Hctuan,STEVE,https://www.twitch.tv/hctuan/clip/CrunchyPoorCarrotTinyFace-BHDKelz1-KgjCBlD,3,45.2,2025-05-30T00:49:28Z,Minecraft
Hctuan,ENCORE UN FLOP,https://www.twitch.tv/hctuan/clip/FreezingAdorableFennelChocolateRain-iwbMwjvJWtJYEY9I,3,47.4,2025-05-30T00:48:58Z,Minecraft
Hctuan,CrazyTown,https://www.twitch.tv/hctuan/clip/TallLuckyAlligatorMVGame-KP9RWqy8NQGnz18Y,3,30,2025-05-29T23:34:08Z,Minecraft
Zafeel,"Les chiens... (part 1, pov 1)",https://www.twitch.tv/zafeel/clip/CloudyOnerousCrowDoritosChip-GbuCYOPS9AXsj2EO,3,60,2025-05-30T19:25:30Z,Minecraft
Zafeel,"Les chiens... (part 4, pov 2 - big Zaf)",https://www.twitch.tv/zafeel/clip/DepressedFragileHareAMPEnergyCherry-FyF5habEVDiFOep5,3,60,2025-05-30T19:33:13Z,Minecraft
Zafeel,mais nan c'est moi,https://www.twitch.tv/zafeel/clip/CourteousResilientCodWTRuck-oOPMueh_0mlhb5pM,3,12,2025-05-30T18:09:38Z,Minecraft
Michou,LDC : Finale PSG - Inter Miami,https://www.twitch.tv/michou/clip/EnergeticAgreeableCroissantSmoocherZ-cx_67iB4sWkKgtDg,3,18.4,2025-05-30T18:56:01Z,Minecraft
Michou,kings league,https://www.twitch.tv/michou/clip/AffluentOilyYogurtPJSugar-Ahj_IjHPApN2LLzd,3,30,2025-05-30T18:59:01Z,Minecraft
Michou,crazy town,https://www.twitch.tv/michou/clip/PlacidPlumpWheelPeoplesChamp-PGH0ZepiBB6idQ_I,3,60,2025-05-30T19:23:46Z,Minecraft
Michou,hhhh,https://www.twitch.tv/michou/clip/SpicyPolishedBunnyBCWarrior-wgk-tzQUoVbK2LP9,3,19.3,2025-05-30T19:09:20Z,Minecraft
Michou,j'ai fait 2h de sieste je suis en forme !! (Crazy Town RP),https://www.twitch.tv/michou/clip/DirtyGrotesqueEggDansGame-9aBtF1L4lFXLXIlU,3,29.7,2025-05-30T18:56:26Z,Minecraft
Michou,mdr jpp,https://www.twitch.tv/michou/clip/DepressedImportantFinchM4xHeh-VcP9OaxQek055lD4,3,35.6,2025-05-30T19:31:25Z,Minecraft
Michou,c si drole,https://www.twitch.tv/michou/clip/GrotesqueDignifiedJellyfishSuperVinlin-UVaVaFmSyofqAvUl,3,9.3,2025-05-30T19:34:18Z,Minecraft
Nico_la,mousieur,https://www.twitch.tv/nico_la/clip/AliveMuddyRaccoonRiPepperonis-NwySBpJaZYvqa8Ue,3,30,2025-05-30T13:16:08Z,IRL
RASKA_yt,mission accomplie,https://www.twitch.tv/raska_yt/clip/FrozenObliviousOryxKappaRoss-UWPhvTg2_RfOIT3y,3,54,2025-05-30T16:13:25Z,Minecraft
